,曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ,再生回数,収録回数
328,Winter days,Doors〜勇気の軌跡〜,2017,,"作詞：今井了介 / 作曲・編曲：今井了介, Tasuku Maeda",カップリング,2,0
329,NOW or NEVER,Doors〜勇気の軌跡〜,2017,ガンホー「パズル&ドラゴンズ」CMソング,"作詞：wonder note / 作曲：Kevin Charge, wonder note / 編曲：前口渉",カップリング,125,1
330,Perfect Night,Doors〜勇気の軌跡〜,2017,,作詞：Macoto56 / 作曲・編曲：Chris Meyer,カップリング,2,0
331,BORDER,Doors〜勇気の軌跡〜,2017,,作詞：ASIL / 作曲・編曲：HIKARI,カップリング,2,0
332,Find The Answer,Find The Answer,2018,TBS系ドラマ「99.9 刑事専門弁護士 SEASON Ⅱ」主題歌,"作詞：HIKARI / 作曲：7th Avenue, HIKARI / 編曲：metropolitan digital clique",シングル,369,3
333,街角の恋人たち,Find The Answer,2018,,"作詞：Goro.T / 作曲：Kevin Charge, Ricky Hanley, Carlos Okabe, Saw Arrow / 編曲：石塚知生",カップリング,1,0
334,Circle,Find The Answer,2018,,"作詞：paddy / 作曲：今井了介, Tasuku Maeda / 編曲：吉岡たく",カップリング,5,0
335,Bounce Beat,Find The Answer,2018,,"作詞：IROCO-STAR / 作曲：Henrik Nordenback, Christian Fast, Samuel Waermo / 編曲：Henrik Nordenback",カップリング,5,0
336,白が舞う,Find The Answer,2018,日本テレビ系「ピョンチャン2018」テーマソング,"作詞：Funk Uchino / 作曲：Erik Lidbom, eltvo / 編曲：Erik Lidbom",カップリング,63,0
337,夏疾風,夏疾風,2018,2018 ABC夏の高校野球応援ソング/「熱闘甲子園」テーマソング,作詞・作曲：北川悠仁 / 編曲：K Project,シングル,121,3
338,After the rain,夏疾風,2018,,"作詞・作曲：Nai-T / 編曲：Nai-T, metropolitan digital clique",カップリング,68,0
339,Midsummer Night's Lover,夏疾風,2018,,"作詞：ASIL / 作曲：Erik Lidbom, Mr.Mustard / 編曲：Erik Lidbom",カップリング,5,0
340,Sparkle,夏疾風,2018,,"作詞：IROCO-STAR / 作曲：Josef Melin, Christofer Erixon / 編曲：Josef Melin",カップリング,5,0
341,君のうた,君のうた,2018,テレビ朝日系ドラマ「僕とシッポと神楽坂」主題歌,"作詞：ASIL / 作曲：多田慎也, A.K.Janeway / 編曲：佐々木博史",シングル,306,5
342,White On White,君のうた,2018,,作詞：IROCO-STAR / 作曲・編曲：Josef Melin,カップリング,2,0
343,Sky Again,君のうた,2018,JAL「Fly for it!」キャンペーンソング,作詞：Goro.T / 作曲・編曲：Erik Lidbom,カップリング,7,0
344,Fake it,君のうた,2018,,"作詞：HIKARI / 作曲：Kevin Charge, HIKARI / 編曲：Kevin Charge",カップリング,6,0
345,Count on me,君のうた,2018,,"作詞：Funk Uchino / 作曲：Erik Lidbom, Saori Tsuchiya / 編曲：石塚知生",カップリング,89,1
346,5×20,5×20 All the BEST!! 1999-2019,2019,,作詞：嵐 / Rap詞：櫻井翔 / 作曲：youth case / 編曲：ha-j,アルバム,126,4
347,BRAVE,BRAVE,2019,ラグビーワールドカップ2019日本大会(日本テレビ系)イメージソング,作詞：Goro.T / Rap詞：櫻井翔 / 作曲：Fredrik “Figge” Bostrom / 編曲：石塚知生,シングル,495,3
348,Turning Up,Turning Up | This is 嵐,2019,デジタルシングル,"Written by Andreas Carlsson, Erik Lidbom, Funk Uchino / Rap by Sho Sakurai / Produced by Erik Lidbom, Andreas Carlsson / Track production by Erik Lidbom / Additional track production by Geek Boy Al Swettenham",シングル,790,2
349,A-RA-SHI : Reborn,A-RA-SHI : Reborn | Reborn Vol.1 | This is 嵐,2019,デジタルシングル,"Written by J&T, Koji Makaino, Andreas Carlsson, Erik Lidbom, Sho Sakurai, Geek Boy Al Swettenham",シングル,81,0
350,Turning Up (R3HAB Remix),Turning Up (R3HAB Remix) | This is 嵐,2020,デジタルシングル,"Written by Andreas Carlsson, Erik Lidbom, Funk Uchino, Sho Sakurai / Track produced by Erik Lidbom / Remixed by R3HAB",シングル,62,0
351,a Day in Our Life : Reborn,Reborn Vol.1 | This is 嵐,2020,デジタルEP,"Written by SHUN, SHUYA, Andreas Carlsson, Geek Boy Al Swettenham, Sho Sakurai",アルバム,192,1
352,One Love : Reborn,Reborn Vol.1 | This is 嵐,2020,デジタルEP,"Written by youth case, Yusuke Kato, Andreas Carlsson, Erik Lidbom",アルバム,181,1
353,Love so sweet : Reborn,Love so sweet : Reborn | This is 嵐,2020,デジタルシングル,"Written by SPIN, youth case, Ellen Shipley / Produced by Afterhrs",シングル,55,0
354,Face Down : Reborn,Face Down : Reborn | This is 嵐,2020,デジタルシングル,"Written by eltvo, Albi Albertsson, Royce.H, Vincent Stein, Konstantin Scherer, Ellen Shipley / Produced by BloodPop, Tom Norris",シングル,9,0
355,IN THE SUMMER,IN THE SUMMER | This is 嵐,2020,デジタルシングル,"Written by Rami Yacoub, Gregory Hein, Funk Uchino / Produced by Rami Yacoub for MXM Productions",シングル,103,1
356,カイト,カイト | This is 嵐,2020,NHK2020ソング,作詞・作曲・編曲：米津玄師 / オーケストラ編曲：坂東祐大,シングル,76,1
357,Journey to Harmony,カイト,2020,天皇陛下御即位奉祝曲「Ray of Water」第3楽章,作詞：岡田惠和 / 作曲・編曲：菅野よう子,カップリング,17,0
358,Sounds of Joy,カイト,2020,,"作詞：Funk Uchino / 作曲：川口進, Andreas Ohrn, Henrik Smith, 佐原康太 / 編曲：石塚知生",カップリング,42,0
359,僕らの日々,カイト,2020,,作詞・作曲：Na-T / 編曲：佐々木博史,カップリング,22,0
360,Whenever You Call,Whenever You Call,2020,デジタルシングル,"Written by Bruno Mars, D'Mile / Produced by Bruno Mars, D'Mile",シングル,178,2
361,Party Starters,Party Starters | This is 嵐,2020,デジタルシングル / ソフトバンク5Gプロジェクト CMソング,"Written by Sam Hollander, Grant Michaels, Funk Uchino / Rap by Sho Sakurai / Produced by Sam Hollander, Grant Michaels",シングル,164,1
362,SHOW TIME,This is 嵐,2020,,"Written by AKIRA, Singo Kubota, Satoru Kurihara",アルバム,124,1
363,I Can't Wait For Christmas,This is 嵐,2020,,"Lyrics by miwaflower / Music by DWB, Mike Macdermid, Julie Morrison / Arranged by Hirofumi Sasaki",アルバム,39,0
364,いつか秒針のあう頃,This is 嵐,2020,,"Written by Rami Yacoub, Shiho Otowa / Rap by Sho Sakurai / Produced by Rami Yacoub for MXM Productions",アルバム,300,1
365,Do you...?,This is 嵐,2020,,"Lyrics by Atsushi Shimada, MiNE / Rap by Sho Sakurai / Music by Takuya Harada, MiNE, Atsushi Shimada / Arranged by Tomoki Ishizuka",アルバム,473,1
366,The Music Never Ends,This is 嵐,2020,,"Written by Julian Bunetta, John Ryan, Funk Uchino /  Produced by Julian Bunetta",アルバム,29,1
